arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
full_16,42,16,3523,979,0.6243145110805057,0.6595694900049799,0.5,0.5944841675178754,0.6017699115044248,0.556237218813906,0.5781083953241233,0.3673469387755102,310,180,217,272,0.89578877389431,0.5566905005107252,0.9104477611940298,0.12474437627811862,0.21942446043165467,0.012244897959183673,484,6,428,61
drop_perplexity,42,10,3523,979,0.5759212887609031,0.5969721966657549,0.5,0.5546475995914198,0.5557894736842105,0.5398773006134969,0.5477178423236515,0.4306122448979592,279,211,225,264,0.8724168390035629,0.5352400408580184,0.84,0.08588957055214724,0.15584415584415584,0.0163265306122449,482,8,447,42
only_perplexity,42,6,3523,979,0.5577563540753725,0.563237597264425,0.5,0.5464759959141982,0.5496688741721855,0.50920245398773,0.5286624203821656,0.4163265306122449,286,204,240,249,0.7976689487695694,0.526046986721144,0.6237623762376238,0.12883435582822086,0.2135593220338983,0.07755102040816327,452,38,426,63
drop_stylometric,42,10,3523,979,0.5757397437502608,0.5826664539974991,0.5,0.5628192032686414,0.5679287305122495,0.5214723926380368,0.5437100213219617,0.39591836734693875,296,194,234,255,0.8656595051288605,0.5168539325842697,0.6333333333333333,0.07770961145194274,0.1384335154826958,0.044897959183673466,468,22,451,38
only_stylometric,42,6,3523,979,0.5434810734109595,0.5918877028387695,0.5,0.5066394279877426,0.5060975609756098,0.50920245398773,0.5076452599388379,0.4959183673469388,247,243,240,249,0.8096267282962799,0.5423901940755873,0.735632183908046,0.130879345603272,0.2222222222222222,0.04693877551020408,467,23,425,64
drop_distribution,42,12,3523,979,0.610170694044489,0.6523783359619348,0.5,0.5689479060265578,0.5763097949886105,0.5173824130879345,0.5452586206896551,0.3795918367346939,304,186,236,253,0.8672352284193039,0.5607763023493361,0.8554216867469879,0.14519427402862986,0.24825174825174826,0.024489795918367346,478,12,418,71
only_distribution,42,4,3523,979,0.5005195943408038,0.5096118569865007,0.5,0.515832482124617,0.5163398692810458,0.48466257668711654,0.5,0.4530612244897959,268,222,252,237,0.8441279232501984,0.5066394279877426,0.625,0.03067484662576687,0.05847953216374269,0.018367346938775512,481,9,474,15
full_16,43,16,3523,979,0.6572325862860482,0.7053360005571291,0.5,0.6067415730337079,0.6120689655172413,0.5807770961145194,0.5960125918153201,0.3673469387755102,310,180,205,284,0.8791245371103287,0.5863125638406538,0.8888888888888888,0.19631901840490798,0.32160804020100503,0.024489795918367346,478,12,393,96
drop_perplexity,43,10,3523,979,0.5868160761237009,0.6283874874287205,0.5,0.5669050051072523,0.5720620842572062,0.5276073619631901,0.548936170212766,0.39387755102040817,297,193,231,258,0.8371917456388474,0.5536261491317671,0.776595744680851,0.1492842535787321,0.2504288164665523,0.04285714285714286,469,21,416,73
only_perplexity,43,6,3523,979,0.5746588205834481,0.5965439140911706,0.5,0.5485188968335035,0.550755939524838,0.5214723926380368,0.5357142857142857,0.42448979591836733,282,208,234,255,0.8109596073627472,0.5454545454545454,0.72,0.147239263803681,0.24448217317487267,0.05714285714285714,462,28,417,72
drop_stylometric,43,10,3523,979,0.5940590960310504,0.6176166397142493,0.5,0.5617977528089888,0.5617283950617284,0.558282208588957,0.56,0.4346938775510204,277,213,216,273,0.8405417650938034,0.550561797752809,0.7578947368421053,0.147239263803681,0.2465753424657534,0.04693877551020408,467,23,417,72
only_stylometric,43,6,3523,979,0.5716560243729394,0.6137845523849006,0.5,0.5383043922369765,0.5384615384615384,0.5296523517382413,0.534020618556701,0.4530612244897959,268,222,230,259,0.8042586594820023,0.5474974463738509,0.7254901960784313,0.15132924335378323,0.25042301184433163,0.05714285714285714,462,28,415,74
drop_distribution,43,12,3523,979,0.6501585910437795,0.7011232416907314,0.5,0.59244126659857,0.5933609958506224,0.5848670756646217,0.5890834191555098,0.4,294,196,203,286,0.8741269260644913,0.59244126659857,0.8813559322033898,0.21267893660531698,0.342668863261944,0.02857142857142857,476,14,385,104
only_distribution,43,4,3523,979,0.4932473602938108,0.49841868207304146,0.5,0.4974463738508682,0.4968017057569296,0.47648261758691207,0.48643006263048016,0.4816326530612245,254,236,256,233,0.7959449738264084,0.5076608784473953,0.574468085106383,0.05521472392638037,0.10074626865671642,0.04081632653061224,470,20,462,27
full_16,44,16,3523,979,0.6224886273527817,0.663024676890871,0.5,0.6006128702757916,0.6103603603603603,0.5541922290388548,0.5809217577706324,0.35306122448979593,317,173,218,271,0.8936082720756531,0.5648621041879469,0.8539325842696629,0.1554192229038855,0.2629757785467128,0.026530612244897958,477,13,413,76
drop_perplexity,44,10,3523,979,0.5592796627853596,0.6001937434368373,0.5,0.5383043922369765,0.5381443298969072,0.5337423312883436,0.5359342915811088,0.45714285714285713,266,224,228,261,0.8645322471857071,0.5454545454545454,0.7619047619047619,0.130879345603272,0.22338568935427575,0.04081632653061224,470,20,425,64
