threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.05,0.5005107252298263,0.5,0.9938650306748467,0.6652977412731006,0.9918367346938776,4,486,3,486,42
0.1,0.5056179775280899,0.5026511134676565,0.9693251533742331,0.6620111731843575,0.9571428571428572,21,469,15,474,42
0.15,0.5188968335035751,0.5101123595505618,0.9284253578732107,0.6584481508339376,0.889795918367347,54,436,35,454,42
0.2,0.5250255362614913,0.5143884892086331,0.8773006134969326,0.6485260770975056,0.826530612244898,85,405,60,429,42
0.25,0.5485188968335035,0.5307994757536042,0.8282208588957055,0.646964856230032,0.7306122448979592,132,358,84,405,42
0.3,0.5587334014300307,0.541727672035139,0.7566462167689162,0.6313993174061433,0.6387755102040816,177,313,119,370,42
0.35,0.5669050051072523,0.5525040387722132,0.6993865030674846,0.6173285198555957,0.5653061224489796,213,277,147,342,42
0.4,0.5760980592441267,0.5651408450704225,0.656441717791411,0.6073793755912961,0.5040816326530613,243,247,168,321,42
0.45,0.5863125638406538,0.5813953488372093,0.6134969325153374,0.5970149253731343,0.44081632653061226,274,216,189,300,42
0.5,0.5944841675178754,0.6017699115044248,0.556237218813906,0.5781083953241233,0.3673469387755102,310,180,217,272,42
0.55,0.5863125638406538,0.6044776119402985,0.49693251533742333,0.5454545454545454,0.32448979591836735,331,159,246,243,42
0.6,0.5944841675178754,0.6329479768786127,0.44785276073619634,0.5245508982035928,0.25918367346938775,363,127,270,219,42
0.65,0.5903983656792645,0.6486486486486487,0.39263803680981596,0.489171974522293,0.21224489795918366,386,104,297,192,42
0.7,0.5965270684371808,0.6991525423728814,0.3374233128834356,0.45517241379310347,0.14489795918367346,419,71,324,165,42
0.75,0.5832482124616956,0.7120418848167539,0.278118609406953,0.4,0.11224489795918367,435,55,353,136,42
0.8,0.5771195097037793,0.7483443708609272,0.2310838445807771,0.353125,0.07755102040816327,452,38,376,113,42
0.85,0.5709908069458631,0.8415841584158416,0.1738241308793456,0.288135593220339,0.0326530612244898,474,16,404,85,42
0.9,0.5566905005107252,0.9104477611940298,0.12474437627811862,0.21942446043165467,0.012244897959183673,484,6,428,61,42
0.95,0.5383043922369765,0.9743589743589743,0.07770961145194274,0.14393939393939395,0.0020408163265306124,489,1,451,38,42
0.05,0.5066394279877426,0.5030927835051546,0.9979550102249489,0.6689513365318711,0.9836734693877551,8,482,1,488,43
0.1,0.5097037793667007,0.5047418335089568,0.9795501022494888,0.6662030598052852,0.9591836734693877,20,470,10,479,43
0.15,0.5291113381001021,0.5155555555555555,0.9488752556237219,0.6681065514758819,0.889795918367347,54,436,25,464,43
0.2,0.5423901940755873,0.524609843937575,0.8936605316973415,0.6611195158850227,0.8081632653061225,94,396,52,437,43
0.25,0.5515832482124617,0.5325520833333334,0.83640081799591,0.6507557677008751,0.7326530612244898,131,359,80,409,43
0.3,0.5556690500510725,0.5385714285714286,0.7709611451942741,0.6341463414634146,0.6591836734693878,167,323,112,377,43
0.35,0.557711950970378,0.5433436532507739,0.7177914110429447,0.6185022026431718,0.6020408163265306,195,295,138,351,43
0.4,0.5669050051072523,0.5546218487394958,0.6748466257668712,0.6088560885608856,0.5408163265306123,225,265,159,330,43
0.45,0.59244126659857,0.5872093023255814,0.6196319018404908,0.6029850746268657,0.4346938775510204,277,213,186,303,43
0.5,0.6067415730337079,0.6120689655172413,0.5807770961145194,0.5960125918153201,0.3673469387755102,310,180,205,284,43
0.55,0.6189989785495403,0.638755980861244,0.5460122699386503,0.5887541345093715,0.3081632653061224,339,151,222,267,43
0.6,0.6281920326864147,0.6684636118598383,0.5071574642126789,0.5767441860465117,0.2510204081632653,367,123,241,248,43
0.65,0.6394279877425945,0.7035928143712575,0.48057259713701433,0.5710814094775213,0.20204081632653062,391,99,254,235,43
0.7,0.6292134831460674,0.723404255319149,0.4171779141104294,0.5291828793774319,0.15918367346938775,412,78,285,204,43
0.75,0.634320735444331,0.7811158798283262,0.3721881390593047,0.5041551246537396,0.10408163265306122,439,51,307,182,43
0.8,0.6281920326864147,0.8238341968911918,0.32515337423312884,0.4662756598240469,0.06938775510204082,456,34,330,159,43
0.85,0.6006128702757916,0.8602941176470589,0.2392638036809816,0.3744,0.03877551020408163,471,19,372,117,43
0.9,0.5781409601634321,0.9130434782608695,0.17177914110429449,0.2891566265060241,0.0163265306122449,482,8,405,84,43
0.95,0.5413687436159347,0.9166666666666666,0.08997955010224949,0.16387337057728119,0.00816326530612245,486,4,445,44,43
0.05,0.5025536261491318,0.5010288065843621,0.9959100204498977,0.6666666666666666,0.9897959183673469,5,485,2,487,44
0.1,0.49540347293156284,0.49733759318423854,0.9550102249488752,0.65406162464986,0.963265306122449,18,472,22,467,44
0.15,0.5097037793667007,0.5051078320090806,0.9100204498977505,0.6496350364963503,0.889795918367347,54,436,44,445,44
0.2,0.5056179775280899,0.503052503052503,0.8425357873210634,0.6299694189602446,0.8306122448979592,83,407,77,412,44
0.25,0.5352400408580184,0.522972972972973,0.7914110429447853,0.629780309194467,0.7204081632653061,137,353,102,387,44
0.3,0.5485188968335035,0.534711964549483,0.7402862985685071,0.6209262435677531,0.6428571428571429,175,315,127,362,44
0.35,0.5597548518896833,0.5476973684210527,0.6809815950920245,0.6071103008204193,0.5612244897959183,215,275,156,333,44
0.4,0.5740551583248212,0.5642857142857143,0.6462167689161554,0.6024785510009533,0.49795918367346936,246,244,173,316,44
0.45,0.59244126659857,0.59,0.6032719836400818,0.596562184024267,0.41836734693877553,285,205,194,295,44
0.5,0.6006128702757916,0.6103603603603603,0.5541922290388548,0.5809217577706324,0.35306122448979593,317,173,218,271,44
0.55,0.599591419816139,0.6279683377308707,0.4867075664621677,0.5483870967741935,0.28775510204081634,349,141,251,238,44
0.6,0.6077630234933605,0.6521739130434783,0.4601226993865031,0.539568345323741,0.24489795918367346,370,120,264,225,44
0.65,0.6006128702757916,0.6701388888888888,0.3946830265848671,0.4967824967824968,0.19387755102040816,395,95,296,193,44
0.7,0.5944841675178754,0.6854838709677419,0.3476482617586912,0.46132971506105835,0.15918367346938775,412,78,319,170,44
0.75,0.5975485188968335,0.7294685990338164,0.30879345603271985,0.4339080459770115,0.11428571428571428,434,56,338,151,44
0.8,0.5893769152196119,0.7514450867052023,0.2658486707566462,0.39274924471299094,0.08775510204081632,447,43,359,130,44
0.85,0.5801838610827375,0.7910447761194029,0.2167689161554192,0.3402889245585875,0.05714285714285714,462,28,383,106,44
0.9,0.5638406537282942,0.8604651162790697,0.15132924335378323,0.2573913043478261,0.024489795918367346,478,12,415,74,44
0.95,0.5372829417773238,0.9090909090909091,0.081799591002045,0.150093808630394,0.00816326530612245,486,4,449,40,44
0.05,0.5045965270684372,0.5025693730729702,0.9979591836734694,0.6684894053315106,0.9897750511247444,5,484,1,489,45
0.1,0.5148110316649642,0.5080042689434365,0.9714285714285714,0.6671338472319551,0.9427402862985685,28,461,14,476,45
0.15,0.5280898876404494,0.5155555555555555,0.9469387755102041,0.6676258992805756,0.8916155419222904,53,436,26,464,45
0.2,0.5444330949948928,0.5263157894736842,0.8979591836734694,0.6636500754147813,0.8098159509202454,93,396,50,440,45
0.25,0.5556690500510725,0.535575679172057,0.8448979591836735,0.6555819477434679,0.7341513292433538,130,359,76,414,45
0.3,0.5669050051072523,0.5462184873949579,0.7959183673469388,0.6478405315614618,0.6625766871165644,165,324,100,390,45
0.35,0.5658835546475995,0.5500770416024653,0.7285714285714285,0.6268656716417911,0.5971370143149284,197,292,133,357,45
0.4,0.5801838610827375,0.568935427574171,0.6653061224489796,0.6133584195672624,0.5051124744376279,242,247,164,326,45
0.45,0.5791624106230848,0.5741444866920152,0.6163265306122448,0.594488188976378,0.45807770961145194,265,224,188,302,45
0.5,0.599591419816139,0.6042553191489362,0.5795918367346938,0.5916666666666667,0.3803680981595092,303,186,206,284,45
0.55,0.6087844739530133,0.6314496314496314,0.5244897959183673,0.5730211817168339,0.3067484662576687,339,150,233,257,45
0.6,0.6077630234933605,0.6464088397790055,0.4775510204081633,0.5492957746478874,0.261758691206544,361,128,256,234,45
0.65,0.6077630234933605,0.6687898089171974,0.42857142857142855,0.5223880597014925,0.21267893660531698,385,104,280,210,45
0.7,0.6036772216547498,0.6917293233082706,0.37551020408163266,0.48677248677248675,0.16768916155419222,407,82,306,184,45
0.75,0.5965270684371808,0.7230046948356808,0.3142857142857143,0.43812233285917496,0.12065439672801637,430,59,336,154,45
0.8,0.5914198161389173,0.7528089887640449,0.27346938775510204,0.40119760479041916,0.08997955010224949,445,44,356,134,45
0.85,0.5832482124616956,0.7928571428571428,0.22653061224489796,0.3523809523809524,0.05930470347648262,460,29,379,111,45
0.9,0.5617977528089888,0.8588235294117647,0.1489795918367347,0.2539130434782609,0.024539877300613498,477,12,417,73,45
0.95,0.5372829417773238,0.8936170212765957,0.08571428571428572,0.1564245810055866,0.010224948875255624,484,5,448,42,45
0.05,0.49948927477017363,0.5,0.9959183673469387,0.6657571623465212,0.9979550102249489,1,488,2,488,46
0.1,0.501532175689479,0.5010504201680672,0.9734693877551021,0.6615811373092927,0.9713701431492843,14,475,13,477,46
0.15,0.5127681307456589,0.5071982281284607,0.9346938775510204,0.6575735821966978,0.9100204498977505,44,445,32,458,46
0.2,0.5270684371807968,0.5157894736842106,0.9,0.6557620817843867,0.8466257668711656,75,414,49,441,46
0.25,0.5413687436159347,0.5259822560202788,0.8469387755102041,0.6489444878811571,0.7648261758691206,115,374,75,415,46
0.3,0.5444330949948928,0.5301369863013699,0.789795918367347,0.6344262295081967,0.7014314928425358,146,343,103,387,46
0.35,0.5597548518896833,0.544360902255639,0.7387755102040816,0.6268398268398269,0.6196319018404908,186,303,128,362,46
0.4,0.5893769152196119,0.5745762711864407,0.6918367346938775,0.6277777777777778,0.5132924335378323,238,251,151,339,46
0.45,0.6016343207354443,0.5919117647058824,0.6571428571428571,0.6228239845261122,0.4539877300613497,267,222,168,322,46
0.5,0.6016343207354443,0.599601593625498,0.6142857142857143,0.6068548387096774,0.4110429447852761,288,201,189,301,46
0.55,0.6108273748723186,0.6197802197802198,0.5755102040816327,0.5968253968253968,0.3537832310838446,316,173,208,282,46
0.6,0.6128702757916241,0.6397984886649875,0.5183673469387755,0.5727170236753101,0.29243353783231085,346,143,236,254,46
0.65,0.6179775280898876,0.6666666666666666,0.47346938775510206,0.5536992840095465,0.23721881390593047,373,116,258,232,46
0.7,0.6118488253319714,0.6845637583892618,0.4163265306122449,0.5177664974619289,0.19222903885480572,395,94,286,204,46
0.75,0.6118488253319714,0.7254098360655737,0.36122448979591837,0.4822888283378747,0.13701431492842536,422,67,313,177,46
0.8,0.6026557711950971,0.7563451776649747,0.3040816326530612,0.43377001455604075,0.09815950920245399,441,48,341,149,46
0.85,0.59244126659857,0.8181818181818182,0.23877551020408164,0.3696682464454976,0.053169734151329244,463,26,373,117,46
0.9,0.5699693564862104,0.8791208791208791,0.16326530612244897,0.27538726333907054,0.022494887525562373,478,11,410,80,46
0.95,0.5383043922369765,0.9318181818181818,0.0836734693877551,0.15355805243445692,0.006134969325153374,486,3,449,41,46
