,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr
,mean,std,mean,std,mean,std,mean,std,mean,std
threshold,,,,,,,,,,
0.05,0.5028,0.0029,0.5013,0.0014,0.9963,0.0017,0.667,0.0016,0.9906,0.0051
0.1,0.5054,0.0075,0.5028,0.004,0.9698,0.0091,0.6622,0.0052,0.9587,0.0105
0.15,0.5197,0.0088,0.5107,0.0048,0.9338,0.0158,0.6603,0.0077,0.8942,0.0089
0.2,0.5289,0.0157,0.5168,0.0093,0.8823,0.0239,0.6518,0.0135,0.8243,0.0159
0.25,0.5465,0.0082,0.5296,0.0051,0.8296,0.0226,0.6464,0.0098,0.7365,0.0167
0.3,0.5549,0.0088,0.5383,0.0062,0.7707,0.023,0.6337,0.0096,0.661,0.0248
0.35,0.562,0.0041,0.5476,0.0038,0.7131,0.0231,0.6193,0.0082,0.5891,0.025
0.4,0.5773,0.0083,0.5655,0.0073,0.6669,0.0175,0.612,0.0097,0.5123,0.0169
0.45,0.5904,0.0083,0.5849,0.0072,0.622,0.0206,0.6028,0.0116,0.4412,0.0159
0.5,0.6006,0.0044,0.6056,0.0054,0.577,0.0243,0.5907,0.0117,0.3758,0.0219
0.55,0.6049,0.0125,0.6245,0.0131,0.5259,0.0362,0.5705,0.0232,0.3162,0.0247
0.6,0.6102,0.0121,0.648,0.0135,0.4822,0.0301,0.5526,0.0221,0.2619,0.0184
0.65,0.6112,0.0187,0.6716,0.0199,0.434,0.0419,0.5266,0.0354,0.2116,0.0163
0.7,0.6072,0.0141,0.6969,0.0159,0.3788,0.0373,0.49,0.033,0.1646,0.0175
0.75,0.6047,0.0194,0.7342,0.027,0.3269,0.039,0.4517,0.0414,0.1177,0.0123
0.8,0.5978,0.0193,0.7666,0.0321,0.2799,0.0362,0.4094,0.0428,0.0846,0.0112
0.85,0.5855,0.0114,0.8208,0.0303,0.219,0.0269,0.345,0.0346,0.0482,0.0118
0.9,0.5661,0.0082,0.8844,0.0262,0.152,0.0178,0.2591,0.0263,0.02,0.0055
0.95,0.5385,0.0017,0.9251,0.0308,0.0838,0.0046,0.1536,0.0074,0.0069,0.0031
