arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
full_16,42,16,66015,18338,0.9543704127298496,0.9542031366477175,0.5,0.8870105791253136,0.8825876010781671,0.8927909259461229,0.8876599436130991,0.11876976769549569,8080,1089,983,8186,0.7532446116209025,0.8641073181372014,0.9338531513970111,0.7837277783836841,0.8522296015180265,0.05551314210928127,8660,509,1983,7186
drop_perplexity,42,10,66015,18338,0.9268570005141277,0.9215012192983267,0.5,0.850583487839459,0.8391180504272603,0.867488275711637,0.853067353067353,0.16632130003271894,7644,1525,1215,7954,0.8235357075929638,0.7936525248118661,0.9254226576078369,0.6387828552732032,0.7558394631565363,0.05147780564947104,8697,472,3312,5857
only_perplexity,42,6,66015,18338,0.7692891094184563,0.7903010822959684,0.5,0.6922783291525794,0.716319018404908,0.6367106554695169,0.6741728737225013,0.25215399716435816,6857,2312,3331,5838,0.7427736937999725,0.6525248118660705,0.8762442830239441,0.3552186716108627,0.5055098556573026,0.05016904787872178,8709,460,5912,3257
drop_stylometric,42,10,66015,18338,0.8120422498429624,0.8310291089161137,0.5,0.72450648925728,0.7561916614810206,0.6626676845893773,0.7063473610788189,0.21365470607481732,7210,1959,3093,6076,0.7155745714902869,0.6913512923982986,0.8855196660074709,0.43952448467662775,0.5874635568513119,0.05682189988003054,8648,521,5139,4030
only_stylometric,42,6,66015,18338,0.9070990260193458,0.894588705365811,0.5,0.8298069582288145,0.8136929460580913,0.8554913294797688,0.8340687968525706,0.19587741302213982,7373,1796,1325,7844,0.8324649482965463,0.7468644345075799,0.910575004534736,0.547497000763442,0.6838305407982563,0.05376813174828225,8676,493,4149,5020
drop_distribution,42,12,66015,18338,0.9469662335190079,0.9463186691471018,0.5,0.876158795942851,0.8699849817635701,0.8845021267313775,0.8771834946730842,0.13218453484567563,7957,1212,1059,8110,0.7639879673719405,0.8499291089540845,0.9310761789600968,0.7558076126076999,0.834336624127137,0.05594939469953103,8656,513,2239,6930
only_distribution,42,4,66015,18338,0.6656315282587444,0.6808427554653607,0.5,0.6150616206783728,0.6401434643995749,0.5255753081033918,0.577229442414805,0.2954520667466463,6460,2709,4350,4819,0.7447782307863232,0.5807612607699858,0.8115271350441733,0.21038281164794417,0.33414169409319244,0.048860290107972514,8721,448,7240,1929
full_16,43,16,66015,18338,0.9562657491960829,0.9557214744001867,0.5,0.8872832369942196,0.8844737981810308,0.8909368524375614,0.8876935615321924,0.11637037844912204,8102,1067,1000,8169,0.7892066061496732,0.8568546188242993,0.9421621621621622,0.7603882648053223,0.8415716096324461,0.04667902715672374,8741,428,2197,6972
drop_perplexity,43,10,66015,18338,0.928181691329501,0.9208497060775551,0.5,0.8523830297742393,0.8437965524579698,0.8648707601701385,0.8542036947272041,0.16010470062165993,7701,1468,1239,7930,0.8246092766523355,0.7886356200239939,0.9277517375141425,0.6260224670083978,0.7475905183641574,0.04875122696041008,8722,447,3429,5740
only_perplexity,43,6,66015,18338,0.7718600509874081,0.7934154270421347,0.5,0.6993674337441379,0.7218446601941747,0.6487076017013851,0.6833247171003504,0.2499727342131094,6877,2292,3221,5948,0.7537137120962134,0.6532882538990076,0.8791475586727813,0.3554367979059876,0.5062131096613856,0.048860290107972514,8721,448,5910,3259
