threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.05,0.7512814919838586,0.6698613978177529,0.9909477587523176,0.799366559626974,0.4883847747846003,4691,4478,83,9086,42
0.1,0.8060857236339841,0.7268245372989575,0.9808048860290108,0.8349271191161453,0.36863343876104265,5789,3380,176,8993,42
0.15,0.8335696368197186,0.7616114960225815,0.9710982658959537,0.8536912751677852,0.3039589922565165,6382,2787,265,8904,42
0.2,0.8525466244955829,0.7890031291908807,0.9624822772385211,0.8671514198683306,0.2573890282473552,6809,2360,344,8825,42
0.25,0.8666703021049188,0.8127441860465117,0.9528847202530265,0.8772528741402681,0.21954411604318902,7156,2013,432,8737,42
0.3,0.8731050278111027,0.8276819923371648,0.9424146580870324,0.8813300015299097,0.19620460246482713,7370,1799,528,8641,42
0.35,0.8783400588940997,0.8431935100910171,0.9295452066746647,0.88426622399751,0.17286508888646526,7584,1585,646,8523,42
0.4,0.8846657214527212,0.8600449162923642,0.9188570182135456,0.8884787766939098,0.1495255753081034,7798,1371,744,8425,42
0.45,0.8872287054204384,0.8725994333088467,0.9068600719816774,0.889399935822013,0.13240266114080051,7955,1214,854,8315,42
0.5,0.8870105791253136,0.8825876010781671,0.8927909259461229,0.8876599436130991,0.11876976769549569,8080,1089,983,8186,42
0.55,0.8866833896826263,0.8939006777024775,0.8775220852873814,0.8856356631810677,0.10415530592212892,8214,955,1123,8046,42
0.6,0.8840113425673465,0.9033218785796105,0.8600719816773912,0.8811665456170735,0.09204929654269822,8325,844,1283,7886,42
0.65,0.8807939797142545,0.9140282224593858,0.8406587414112772,0.8758095670946483,0.07907078198276803,8444,725,1461,7708,42
0.7,0.8752862907623514,0.9235598227474151,0.8183007961609772,0.8677499566298502,0.0677282146362744,8548,621,1666,7503,42
0.75,0.8646526338750137,0.9330397616889003,0.785690915039808,0.8530491415038485,0.05638564728978078,8652,517,1965,7204,42
0.8,0.8523830297742393,0.9430883159626988,0.7500272657868906,0.8355506955835004,0.04526120623841204,8754,415,2292,6877,42
0.85,0.8332969789508126,0.9534124629080118,0.7008397862362308,0.8078446162549501,0.03424582833460574,8855,314,2743,6426,42
0.9,0.7989966190424256,0.9661622173099813,0.6196968044497764,0.7550830564784053,0.021703566364925292,8970,199,3487,5682,42
0.95,0.7304504307994328,0.9804456571168713,0.47028029228923546,0.6356600574924449,0.009379430690369724,9083,86,4857,4312,42
0.05,0.7541171338204821,0.6723117881970123,0.9914930744901298,0.8012868538186947,0.48325880684916567,4738,4431,78,9091,43
0.1,0.8099574653724506,0.7307567392010393,0.9815683280619478,0.8377938096346288,0.36165339731704654,5853,3316,169,9000,43
0.15,0.840876867706402,0.7693235674278328,0.9737157814374523,0.8595359584095504,0.29196204602464826,6492,2677,241,8928,43
0.2,0.8593085396444541,0.7968820401910426,0.964445413894645,0.8726931806967334,0.24582833460573672,6915,2254,326,8843,43
0.25,0.8703784491220417,0.8170868347338935,0.9544116043189006,0.8804265808139242,0.21365470607481732,7210,1959,418,8751,43
0.3,0.878667248336787,0.8339746056175452,0.9455774893663431,0.886276514183491,0.18824299269276912,7443,1726,499,8670,43
0.35,0.8847202530265024,0.8492228492228492,0.9355436797905987,0.890295796574987,0.16610317373759406,7646,1523,591,8578,43
0.4,0.887392300141782,0.8623011015911872,0.9220198494928563,0.891161123702103,0.14723524920929218,7819,1350,715,8454,43
0.45,0.8880466790271567,0.873268988669744,0.9078416403097394,0.890219774343618,0.1317482822554259,7961,1208,845,8324,43
0.5,0.8872832369942196,0.8844737981810308,0.8909368524375614,0.8876935615321924,0.11637037844912204,8102,1067,1000,8169,43
0.55,0.885865416075908,0.894777951350145,0.8745773803031955,0.8845623517732061,0.10284654815137965,8226,943,1150,8019,43
0.6,0.8842840004362525,0.905046557075526,0.8586541607590795,0.8812402059547795,0.09008615988657433,8343,826,1296,7873,43
0.65,0.8794852219435053,0.9145716668652448,0.8371687206892791,0.8741601184375356,0.07819827680226851,8452,717,1493,7676,43
