,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr
,mean,std,mean,std,mean,std,mean,std,mean,std
threshold,,,,,,,,,,
0.05,0.7489,0.0041,0.6678,0.0035,0.9908,0.0007,0.7978,0.0027,0.493,0.0076
0.1,0.8055,0.0029,0.7262,0.0029,0.9808,0.0006,0.8345,0.0021,0.3699,0.0053
0.15,0.8344,0.0037,0.7625,0.0039,0.9714,0.0013,0.8544,0.0029,0.3025,0.006
0.2,0.8526,0.0042,0.789,0.0047,0.9625,0.0019,0.8672,0.0035,0.2574,0.0068
0.25,0.8653,0.0035,0.8108,0.0041,0.9529,0.002,0.8761,0.003,0.2223,0.0057
0.3,0.8729,0.0037,0.8275,0.004,0.9421,0.0026,0.8811,0.0033,0.1964,0.0049
0.35,0.878,0.0042,0.8423,0.0043,0.9301,0.0036,0.884,0.0039,0.1742,0.005
0.4,0.8821,0.0039,0.8565,0.0045,0.9181,0.0029,0.8862,0.0037,0.1539,0.0052
0.45,0.8842,0.0032,0.8687,0.0039,0.9051,0.0028,0.8865,0.0031,0.1368,0.0044
0.5,0.8847,0.0023,0.8805,0.0029,0.8903,0.0029,0.8854,0.0023,0.1208,0.0033
0.55,0.8844,0.0022,0.8917,0.0025,0.8751,0.0031,0.8833,0.0022,0.1062,0.0027
0.6,0.8824,0.0019,0.9022,0.002,0.8578,0.0025,0.8795,0.002,0.093,0.002
0.65,0.8786,0.0016,0.9124,0.0018,0.8376,0.0021,0.8734,0.0017,0.0804,0.0017
0.7,0.8733,0.0017,0.9229,0.0017,0.8146,0.003,0.8654,0.002,0.0681,0.0016
0.75,0.8642,0.0013,0.9333,0.0018,0.7844,0.0018,0.8524,0.0015,0.0561,0.0016
0.8,0.8509,0.002,0.9425,0.0015,0.7473,0.0036,0.8337,0.0025,0.0456,0.0012
0.85,0.8313,0.0025,0.9538,0.0025,0.6964,0.0049,0.805,0.0034,0.0338,0.0019
0.9,0.7974,0.0024,0.9667,0.0023,0.616,0.0046,0.7525,0.0035,0.0212,0.0015
0.95,0.7294,0.001,0.9813,0.0009,0.4678,0.0025,0.6335,0.0021,0.0089,0.0005
